token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix
3.7232142857142856,3.0,1.9420617791619383,5.743589743589744,5.0,4.855438128679353,1.2857142857142858,1.0,0.7491491772643939,224,142,0.6339285714285714,933,39,92.23382783882784,1.821428571428573,6.788186056548925,5.154578754578755,-1.0218658424908433,0.9389285714285691,17.79716117216117,0.6923076923076923
3.9607843137254903,4.0,1.969978444330417,8.5,6.0,8.281505499203229,1.2941176470588236,1.0,0.6655122646461624,51,42,0.8235294117647058,217,6,88.72514705882354,2.995588235294118,6.42735559955562,4.968627450980392,1.47529411764706,4.007058823529416,24.186274509803923,1.3333333333333333
3.96,4.0,2.3913176284216195,6.25,7.5,3.112474899497183,1.36,1.0,0.7418894796396562,25,21,0.84,115,4,85.43525000000001,2.895500000000002,7.168621630094336,5.7,0.3465999999999987,2.7487999999999992,26.25,1.25
4.086294416243655,4.0,1.8407857996028716,14.071428571428571,10.5,10.983521980769229,1.2081218274111676,1.0,0.4182815040498004,197,106,0.5380710659898477,845,14,90.34539340101524,4.153694706308922,4.65589566412798,5.8316171138506165,4.8521609862219,6.1238578680203055,27.777012327773747,1.9285714285714286
3.4302325581395348,3.0,1.7086693971355047,5.733333333333333,7.0,3.2345358588555206,1.2209302325581395,1.0,0.6717066564667992,86,58,0.6744186046511628,331,15,97.72496899224808,1.0529767441860471,6.079149491110277,4.153798449612403,-2.4069379844961247,-0.7930232558139529,8.05891472868217,0.13333333333333333
3.5267857142857144,3.0,1.6472911824555847,7.466666666666667,6.0,6.510162995057975,1.2589285714285714,1.0,0.7164587481182025,112,79,0.7053571428571429,436,15,92.75097619047621,2.1773571428571437,6.742157984588678,5.12952380952381,-1.0855059523809523,0.9732142857142847,12.823809523809523,0.4
4.264705882352941,4.0,2.2920428023081194,6.8,7.0,4.1182520563948,1.2941176470588236,1.0,0.708329092870135,34,32,0.9411764705882353,156,5,90.45064705882355,2.332588235294118,7.554174236665414,6.249411764705883,2.056764705882351,4.923529411764701,18.56470588235294,0.8
3.546218487394958,3.0,1.633411129706729,5.666666666666667,6.0,3.968126982095173,1.3949579831932772,1.0,0.8717652081073897,119,72,0.6050420168067226,464,21,83.0698879551821,3.080504201680675,7.2636822038024595,5.9641456582633054,-1.8939775910364176,-0.1717647058823566,11.549019607843137,0.3333333333333333
3.8461538461538463,4.0,1.790837957972741,6.5,6.0,4.681523968396046,1.358974358974359,1.0,0.767519463953629,39,37,0.9487179487179487,164,6,85.26826923076925,2.980897435897436,7.168621630094336,5.676923076923078,-0.06461538461538296,2.2615384615384606,16.756410256410255,0.6666666666666666
3.7112299465240643,3.0,1.8476845129577888,8.5,8.0,5.3491715586281545,1.2834224598930482,1.0,0.716417892663708,187,96,0.5133689839572193,776,22,89.62995989304814,2.8693850267379695,7.520522993642369,6.180748663101605,0.29989304812834305,2.539679144385026,18.12566844919786,0.8181818181818182
3.4324324324324325,3.0,1.6528524163698006,7.4,8.0,2.33238075793812,1.2162162162162162,1.0,0.6210337996257329,37,30,0.8108108108108109,142,5,96.43210810810812,1.6473513513513538,6.742157984588678,5.122162162162162,-1.5632432432432424,0.38270270270270146,15.50810810810811,0.6
3.5,4.0,1.6583123951777,5.333333333333333,5.0,2.8087165910587863,1.15625,1.0,0.6179287479151622,32,29,0.90625,125,6,103.60291666666669,0.13375000000000092,6.42735559955562,4.633333333333333,-2.2783333333333324,-0.7700000000000031,8.458333333333332,0.16666666666666666
