,Materials Difficulty
135,-1.0
136,-0.9633037399721855
137,-0.11067514329498962
138,-0.09231204611941934
139,-1.0
140,-0.33403982826327283
141,-1.0
142,-0.43409015499189396
143,-1.0
144,-1.0
145,-0.14533064668553053
146,-1.0
147,-1.0
148,0.18260289675229635
149,-1.0
150,-1.0
151,-1.0
152,-1.0
153,0.054869653568794474
154,-1.0
155,-1.0
156,-1.0
157,-1.0
158,-1.0
159,-1.0
160,-0.2583706068766879
161,-1.0
162,-0.06510776934047768
163,-1.0
164,-1.0
165,-0.9633037399721855
166,-0.622301533626296
167,-1.0
168,-1.0
169,0.022449551636918752
170,-0.0041047424516234
171,-1.0
172,-0.1896637090565918
173,-1.0
174,-0.18465764183393274
175,-0.9266074799443711
176,-1.0
177,-1.0
178,-1.0
179,-0.2437854789073164
180,-0.0995902929034852
181,0.01706132795204285
182,-0.3775716150244217
183,-0.9633037399721855
184,0.0030980208868800485
185,-0.9633037399721855
186,-0.2182912648520383
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-0.9266074799443711
192,-1.0
193,-1.0
194,0.059184078200744894
195,-0.061385856914088044
196,-1.0
197,-0.31031590181747304
198,-0.36337318546650743
199,-0.24742722198110534
200,-1.0
201,-0.054948948716063484
202,-0.4272981899385617
203,-0.9633037399721855
204,0.1698510737507981
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-0.18526069014908186
210,-0.2769716281868473
211,-1.0
212,0.38129287598138806
213,-1.0
214,-0.9633037399721855
215,0.11437156642490653
216,-1.0
217,-0.568460507466646
218,-0.3578509458159409
219,-1.0
220,-0.21689814681289576
221,-0.12339028577210254
222,-1.0
223,-0.19171105170601266
224,-1.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,-1.0
233,0.017113074811026197
234,-0.9633037399721855
235,-0.1782443397482497
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,0.07717526244778083
241,-0.23135869184715507
242,-1.0
243,-0.15247080594794238
244,-0.1802279316646861
245,-1.0
246,-1.0
247,-0.9266074799443711
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,0.10591047509048246
253,-1.0
254,-1.0
255,-0.4194280446360632
256,0.2640854012358962
257,-1.0
258,-0.045915927518516586
259,-1.0
260,0.09858805148589611
261,-1.0
262,-1.0
263,-1.0
264,-0.23944625963432076
265,-1.0
266,-1.0
267,-1.0
268,-0.867489774072254
269,-1.0
270,-0.5389855997110278
271,-0.3013711552677134
272,-1.0
273,-0.9633037399721855
274,-0.24828891817176435
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-0.9633037399721855
280,-0.31507601443523336
281,-0.10199156630989892
282,-0.9633037399721855
283,-1.0
284,-1.0
285,-0.29218195476810804
286,0.07865137516168152
287,-1.0
288,-0.9633037399721855
289,-0.31354242544123767
290,-1.0
291,-1.0
292,-0.9266074799443711
293,-1.0
294,-1.0
295,-0.9633037399721855
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,-0.3753874536275662
301,-0.25938591001229827
302,-1.0
303,-1.0
304,0.026508780462799697
305,-0.9633037399721855
306,-0.3498241913111314
307,-1.0
308,0.2054732565293078
309,-0.19285459217227197
310,-1.0
311,-0.32511324652154217
312,-1.0
313,-0.18810073434610275
314,-0.300298437242959
315,0.06892813095652017
316,-1.0
317,-1.0
318,-1.0
319,0.02541531503237926
320,-1.0
321,-1.0
322,-1.0
323,-1.0
324,-1.0
325,-1.0
326,-0.027248705388816186
327,0.2528281573775373
328,-0.009746498543103055
329,-0.44418912880735284
330,-1.0
331,-0.2746458483293024
332,-1.0
333,-0.08769264340691219
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-0.2367296838949181
339,-1.0
340,0.14933651239150292
341,-0.025003273691342143
342,-1.0
343,-1.0
344,-0.15300132998544513
345,-0.01221699340677218
346,-1.0
347,-0.055104942522136935
348,-1.0
349,-1.0
350,-0.40399148193845513
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-0.5052495315569161
357,-0.9633037399721855
358,-1.0
359,-0.03633225828667341
360,-1.0
361,0.12102858768923497
362,-1.0
363,-1.0
364,0.03681238161761602
365,-0.22407347510339493
366,-1.0
367,-1.0
368,-0.9266074799443711
369,-1.0
370,-1.0
371,-0.44573040819609777
372,-1.0
373,-1.0
374,-0.9633037399721855
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,0.015030979057402583
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-0.9633037399721855
388,-0.0030722404140026693
